,0
0,"[1.0018771649243099e-122, -1.693963993272824e-120, -4.50937728991541e-119, 6.7407811760659e-117, 8.692984490396582e-115, 4.5645247168118956e-113, -7.682176847191858e-112, -4.203286138784781e-109, -4.8633090802816623e-107, -3.3826276070295e-105, -9.879312303892829e-104, 1.1797979896237613e-101, 2.430358204099525e-99, 2.589799725274944e-97, 1.8844874430758095e-95, 7.488880110227562e-94, -3.6601657416560115e-92, -1.1309392695034504e-89, -1.3974454824546865e-87, -1.1969725624735879e-85, -6.875863624878213e-84, -8.28242581250192e-83, 4.227093590762752e-80, 7.011128214746887e-78, 7.153381300318227e-76, 5.119381997251364e-74, 1.935374203942372e-72, -1.2192454963764276e-70, -3.3677333926746647e-68, -4.0122653992769905e-66, -3.208928322556152e-64, -1.4733296317202816e-62, 4.4266044872635755e-61, 1.832095657004841e-58, 2.273771079172127e-56, 1.7497936338613034e-54, 6.181705618900541e-53, -5.636453929337801e-51, -1.2785679890732782e-48, -1.2700885686879582e-46, -6.420123197568073e-45, 2.0774890018344027e-43, 7.966538828400332e-41, 8.211690929461519e-39, 3.293552336509347e-37, -3.062283404792085e-35, -6.265939469102315e-33, -4.151590694040723e-31, 1.187773929451125e-29, 4.803954318098142e-27, 3.214374548991625e-25, -1.7656792005250237e-23, -4.2021848133964516e-21, -8.057145052476059e-20, 3.631706392001127e-17, 1.726076849609577e-15, -3.4703677342447883e-13, -8.867864718149264e-12, 3.990612359819201e-09, -3.317824116154628e-07, 1.5079263826052331e-05, -0.0004312434003470134, 0.007978580157861223, -0.09309836379409064, 0.6307569329859292, -2.055689165365901, 2.4822833536741244, -7.223340437246079, 51.60103823343913]"
1,"[-1.0607636878279773e-122, 1.8197618901700552e-120, 4.5922469676637853e-119, -7.459174275511943e-117, -9.350899151849862e-115, -4.724077359624359e-113, 1.0776431021082394e-111, 4.712956638233537e-109, 5.2901045471938144e-107, 3.5585648261380815e-105, 8.90136489193172e-104, -1.4640972743579408e-101, -2.7661285347498885e-99, -2.8531014403439813e-97, -2.0004152775896454e-95, -7.042918608163134e-94, 5.318120455959449e-92, 1.3487394545190324e-89, 1.5942549999687055e-87, 1.3179254385921908e-85, 7.085231943063451e-84, 1.2113174851712314e-83, -5.5167423710617796e-80, -8.429862162572198e-78, -8.273460520925936e-76, -5.656003134537647e-74, -1.810080842850961e-72, 1.881377362658783e-70, 4.297633560322579e-68, 4.891974262052513e-66, 3.7722368637483184e-64, 1.5822760260757274e-62, -7.659509704650527e-61, -2.4260201884154315e-58, -2.9016059893336236e-56, -2.185860541032098e-54, -7.268846496320542e-53, 7.836477339730175e-51, 1.701124697734329e-48, 1.6976180460036483e-46, 8.905612814411226e-45, -2.2882891420356e-43, -1.0455577315970709e-40, -1.1466841034608725e-38, -5.5007486040848945e-37, 3.024131549210287e-35, 8.166563684491891e-33, 6.5394983363463255e-31, -2.7112971539925797e-31, -5.598234835297004e-27, -5.084478032868042e-25, 6.167678195888606e-24, 4.8152701646697804e-21, 2.299054881228144e-19, -3.17676006760897e-17, -2.794548624497395e-15, 2.7300773135209624e-13, 1.7341296475124725e-11, -3.5235728548532264e-09, 2.3529773492639491e-07, -9.121171575288473e-06, 0.00022972904954277363, -0.0038773175476997067, 0.04364578900181735, -0.31759071658803395, 1.402980464773483, -3.315084334615246, 2.9140552141298732, 49.46612675984701]"
2,"[2.815347870722555e-122, -4.3672525177458625e-120, -1.5507037123906175e-118, 1.422153665102019e-116, 2.2487255821629583e-114, 1.4605100814930772e-112, 1.6675134196854607e-111, -8.263358481084232e-109, -1.2000732900774236e-106, -1.012043745763063e-104, -5.062235105260012e-103, 4.731525002997021e-102, 4.5157398954675926e-99, 6.18308913507328e-97, 5.579414272906572e-95, 3.4567801635621034e-93, 8.05467190356459e-92, -1.4909641734305328e-89, -2.865249749413844e-87, -3.140940043048141e-85, -2.4825452408695477e-83, -1.2732183363102702e-81, 3.768395803771421e-81, 1.065568978068142e-77, 1.5813815197425298e-75, 1.5414710888418587e-73, 1.065954041263864e-71, 3.749293557399202e-70, -2.883983064981757e-68, -7.313016224689364e-66, -8.590191532140103e-64, -6.880864184327439e-62, -3.261263844253725e-60, 7.411110246724533e-59, 3.697522132529611e-56, 4.741467148009625e-54, 3.8109031803285624e-52, 1.5832229218593057e-50, -8.482759981473515e-49, -2.442542046100329e-46, -2.6378292606135393e-44, -1.561118773389176e-42, 7.198087875241572e-42, 1.3422378905865976e-38, 1.6136588405216354e-36, 8.762885285993073e-35, -2.6420983773441254e-33, -9.892831634148406e-31, -8.370890588106054e-29, -5.319242699306388e-28, 6.03869729904772e-25, 5.410717160896978e-23, -6.952302098652745e-22, -4.490838535243916e-19, -1.5390991490672574e-17, 2.7798913477106508e-15, 1.2594424731309323e-13, -1.9991241204274404e-11, 2.4492474170354615e-10, 5.836414791649616e-08, -4.0238662432797896e-06, 0.00013167544052690411, -0.0025769976584635542, 0.03191782498640954, -0.25299994005799814, 1.2612408299511813, -3.595578622873933, 5.183786517346043, 48.43917229970296]"
3,"[1.4059050270509645e-122, -2.3204607103071022e-120, -6.721044836005914e-119, 8.793568222918415e-117, 1.1916028748969653e-114, 6.63729891522403e-113, -5.616799345478035e-112, -5.416455835928264e-109, -6.594228232565984e-107, -4.819497700156472e-105, -1.678692029148284e-103, 1.2924509899723382e-101, 3.117831426815403e-99, 3.498832422829091e-97, 2.6824076728601776e-95, 1.218354975136149e-93, -2.9342339683626673e-92, -1.3922798547579772e-89, -1.8475094263120639e-87, -1.6678585294705536e-85, -1.0404099274384338e-83, -2.4001323805342764e-82, 4.682929388868341e-80, 8.977424287621238e-78, 9.778042397354243e-76, 7.5130631358626e-74, 3.430653289310381e-72, -9.126702831726411e-71, -4.137106754044967e-68, -5.434348801514958e-66, -4.72212769603545e-64, -2.5698480517397802e-62, 6.210077890054927e-62, 2.185333646465064e-58, 3.1223289965746826e-56, 2.7084572670209494e-54, 1.3079741217215948e-52, -3.7429955896534523e-51, -1.595664557132988e-48, -1.8877839912131495e-46, -1.2440728908418807e-44, -9.954725243140418e-44, 8.962269124010341e-41, 1.2233507752540838e-38, 7.748833105269869e-37, -8.275027081206303e-36, -7.370405138216279e-33, -7.455443141261143e-31, -1.6826017828865575e-29, 4.543790088631579e-27, 5.481310061871144e-25, 6.4824765635121745e-24, -4.1063278710730006e-21, -2.8736836577596956e-19, 2.2365716176095373e-17, 2.8967760100473715e-15, -1.9030308136950192e-13, -1.8570952032704056e-11, 2.8624896008930192e-09, -1.7277364149458892e-07, 6.280764311643764e-06, -0.00015229311174264006, 0.00253761320224979, -0.02876181594292327, 0.210477259445629, -0.8873668084403988, 1.7518694081012562, -1.0649014097540785, 49.86070607503255]"
4,"[1.0642090771514332e-122, -1.761166210454725e-120, -5.064336784218698e-119, 6.708717719481378e-117, 9.052307809206789e-115, 5.019166233156595e-113, -4.578027052000434e-112, -4.1396796893375475e-109, -5.0201334696452663e-107, -3.6567624726664156e-105, -1.2600862237834034e-103, 1.0008527824348915e-101, 2.384940204170598e-99, 2.6675680405008025e-97, 2.039243631198833e-95, 9.20214188030513e-94, -2.3216992666340265e-92, -1.0675143602342748e-89, -1.411118623201237e-87, -1.2708294221137224e-85, -7.901545938806046e-84, -1.790509095777465e-82, 3.604720795461817e-80, 6.864469034860214e-78, 7.457127393073325e-76, 5.715247486245248e-74, 2.59473503734583e-72, -7.1611697709123325e-71, -3.166622817737914e-68, -4.143972054304982e-66, -3.589857433438827e-64, -1.942321102429313e-62, 6.423896641597174e-62, 1.6764955484062826e-58, 2.3804367596967764e-56, 2.0545370064667293e-54, 9.805322985908583e-53, -3.016586870946397e-51, -1.2257962628900095e-48, -1.437565848179821e-46, -9.365553078634259e-45, -5.906705545547741e-44, 6.971193501988963e-41, 9.367072918105375e-39, 5.828793107837224e-37, -7.858112522279679e-36, -5.759701900923957e-33, -5.722179679665643e-31, -1.1925346723488794e-29, 3.6179300057656946e-27, 4.274961331803458e-25, 4.4872909491482404e-24, -3.2760593520638354e-21, -2.2836555046662213e-19, 1.7762839454759404e-17, 2.352343606017503e-15, -1.4522716458884474e-13, -1.5656566868618e-11, 2.1873054440640566e-09, -1.160913168412693e-07, 3.3064031265388137e-06, -4.606377698143491e-05, -6.669988450249721e-05, 0.014195561790789357, -0.24617579452002314, 2.0008883581316392, -7.327809449364103, 3.4978309799500638, 48.66981684366862]"
5,"[4.559937175527223e-122, -7.294879881281678e-120, -2.35764539542443e-118, 2.568734184987541e-116, 3.7582904484932905e-114, 2.2740705255785008e-112, 5.892262543433707e-112, -1.5410663351846384e-108, -2.046022394991165e-106, -1.6144568664040038e-104, -6.980876174641897e-103, 2.3553443023208062e-101, 8.664770736495458e-99, 1.0717554465166952e-96, 8.969838589307558e-95, 4.904303793735671e-93, 2.9198586899037396e-92, -3.395308910261913e-89, -5.307023150152318e-87, -5.295374211449395e-85, -3.781660864594717e-83, -1.5137392430310242e-81, 7.139655356478705e-80, 2.2791925243827367e-77, 2.8697548231593446e-75, 2.5069454937206194e-73, 1.4806721657789668e-71, 2.1744614682347353e-70, -8.600834869523907e-68, -1.4575775565549024e-65, -1.4751605440395834e-63, -1.0092568304031322e-61, -2.9674944960418634e-60, 3.793689247781256e-58, 7.893774390895993e-56, 8.287917901560151e-54, 5.4330768395253296e-52, 9.612906992141436e-51, -3.051224815889798e-48, -4.964293951736417e-46, -4.239758673552538e-44, -1.6104719848320998e-42, 1.3335203899315479e-40, 2.992389391967468e-38, 2.6148778500274656e-36, 7.076479175041382e-35, -1.293656106993071e-32, -1.9904600943322948e-30, -1.029019984941764e-28, 5.962687401953855e-27, 1.3539674479293345e-24, 6.088535578702086e-23, -6.5176386481745315e-21, -8.455963228962866e-19, 1.6488006894723608e-17, 6.8852369110125775e-15, -1.348322820414585e-13, -4.702667283554672e-11, 4.122476398465554e-09, -1.5480556639840605e-07, 2.606563444910675e-06, 8.552466107362505e-06, -0.0013238041748965508, 0.028246384456592027, -0.31003896485560056, 1.8886545588981964, -5.742593827814044, 7.628558408713233, 48.05123596191406]"
6,"[2.304063251060995e-122, -3.7905307857890164e-120, -1.11560719421511e-118, 1.4245444070418505e-116, 1.9515588420265907e-114, 1.1014338710216488e-112, -7.382475912678769e-112, -8.756843182162481e-109, -1.0803223670233732e-106, -8.000570130363663e-105, -2.905920503933106e-103, 1.975979275706536e-101, 5.030249312390334e-99, 5.737836761601026e-97, 4.472524478607279e-95, 2.113287014874572e-93, -3.648714295321162e-92, -2.201210936272564e-89, -3.002484465817532e-87, -2.7641933884827393e-85, -1.776558949478001e-83, -4.8007193448365426e-82, 6.921146188198573e-80, 1.427533781553155e-77, 1.5991523055001076e-75, 1.2644760841592944e-73, 6.177929990776029e-72, -9.079948620322754e-71, -6.341371030329998e-68, -8.732703734908062e-66, -7.852700875444644e-64, -4.541178771935618e-62, -3.0874834127046256e-61, 3.239039842551794e-58, 4.95413630845948e-56, 4.4924869411873234e-54, 2.367210545287445e-52, -3.2807437252474555e-51, -2.3920541114715936e-48, -3.0207991358782544e-46, -2.1303062458701965e-44, -3.5582008362987608e-43, 1.2835062203093537e-40, 1.9243386540837355e-38, 1.3268718397528693e-36, 7.939318722337108e-37, -1.0811421652595996e-32, -1.1983769356530739e-30, -3.611561801693419e-29, 6.334703777788198e-27, 8.646965206407337e-25, 1.7491781430074915e-23, -5.889521857514262e-21, -4.768838806776157e-19, 2.877351685315795e-17, 4.542573158465067e-15, -2.413870486535692e-13, -2.975980827089458e-11, 3.98194691237353e-09, -2.1932178770999904e-07, 7.184429764016113e-06, -0.00015241180535636753, 0.0021280925000181643, -0.019050624833616428, 0.09996464347918234, -0.22326579670551816, -0.17354636936979095, -1.739815075680772, 49.3175106048584]"
7,"[-1.1803884298793528e-122, 2.1403243972801243e-120, 4.204389167780586e-119, -9.71574000858668e-117, -1.0913720273834785e-114, -4.621335584902156e-113, 2.4176580495223997e-111, 6.311525353016336e-109, 6.32005279633597e-107, 3.668398936579767e-105, 1.9781674848661593e-104, -2.55222553043337e-101, -3.785718271388839e-99, -3.4596973999893e-97, -2.05741251467222e-95, -2.815215238868747e-94, 1.2237931839613437e-91, 2.0533283464042155e-89, 2.0944446144113926e-87, 1.4944936200233685e-85, 5.5775909681818305e-84, -3.7132588966773246e-82, -1.0192511103841247e-79, -1.243079460367633e-77, -1.0502911941738583e-75, -5.700612164333865e-74, 2.4700741322467327e-74, 4.759966262762466e-70, 7.166653568492229e-68, 6.836628003704887e-66, 4.288752723899707e-64, 6.972566667400537e-63, -2.554908676893728e-60, -4.362728433251365e-58, -4.260477349450944e-56, -2.5318375820750977e-54, -6.014205620857125e-54, 2.058012787124892e-50, 2.962390801511085e-48, 2.387375371564772e-46, 7.604520212119075e-45, -1.0117728766084107e-42, -1.994419895462448e-40, -1.720427714213381e-38, -4.594000284812448e-37, 9.222533458338981e-35, 1.4901584380395705e-32, 8.916260860658701e-31, -3.364157900892561e-29, -1.120949938206305e-26, -7.558575249127043e-25, 3.4534822404640203e-23, 9.252179205368278e-21, 2.6544324233268075e-19, -7.011868501558101e-17, -4.368657908346336e-15, 6.067650196139014e-13, 2.583645732514513e-11, -7.050363541402313e-09, 5.092669610429648e-07, -2.0718870238477278e-05, 0.0005389919134730929, -0.009257369027146658, 0.10397384923337313, -0.7303523636387002, 2.926278565008233, -5.642897633175011, 3.296639802050158, 48.8903990427653]"
8,"[3.5787038575377915e-123, -5.659013230478011e-121, -1.9384701090970627e-119, 1.930043389661406e-117, 2.963178328120782e-115, 1.8788278940258323e-113, 1.4823268771081941e-112, -1.1623004254504885e-109, -1.634451362717685e-107, -1.3515010240333143e-105, -6.463065785072562e-104, 1.1410385021299769e-102, 6.618188955127461e-100, 8.775991729539726e-98, 7.775986427399493e-96, 4.675957953855752e-94, 8.677688733826645e-93, -2.400037913333221e-90, -4.322949431164479e-88, -4.649089755055008e-86, -3.616773538704106e-84, -1.7822592160131403e-82, 1.931383861608246e-81, 1.7373942415335855e-78, 2.5029319504094532e-76, 2.4168378027372303e-74, 1.6546922968193536e-72, 5.514491130053047e-71, -5.1490240361991e-69, -1.2349567462470054e-66, -1.4473806653424473e-64, -1.1665257853857474e-62, -5.57465612587973e-61, 1.318859076356948e-59, 6.578701283974761e-57, 8.609216108419024e-55, 7.12879177866155e-53, 3.167012598461764e-51, -1.4040714198164235e-49, -4.641281646381095e-47, -5.325272101915001e-45, -3.4522052107501566e-43, -2.046407847951633e-42, 2.6361702715009938e-39, 3.59927254640773e-37, 2.3266928297404278e-35, -1.9428857366990656e-34, -2.205042324381376e-31, -2.3314116561920276e-29, -6.239980697524299e-28, 1.3636077032427122e-25, 1.7984366964055377e-23, 3.3032713599130876e-22, -1.3077414726650258e-19, -1.0598044177570099e-17, 6.714190633304279e-16, 1.0796282399599271e-13, -5.869170878575756e-12, -7.629922873749888e-10, 1.0466568697100817e-07, -5.936737381697912e-06, 0.00020049398799817805, -0.00439084000681365, 0.06353265006790858, -0.5971218419261913, 3.4505214572299203, -10.627762577671, 7.457275217312466, 49.33034609158834]"
9,"[6.239172985423585e-123, -7.829132542318018e-121, -4.8685794698258834e-119, 8.890723113956825e-118, 4.150131477181907e-115, 4.225003467839105e-113, 2.300215491203678e-111, -1.2288147003279763e-110, -1.9459646387245132e-107, -2.679329953830102e-105, -2.362858904071313e-103, -1.3570316690710648e-101, -1.331607138325576e-100, 8.981039936751793e-98, 1.4815557429157083e-95, 1.5449630563565806e-93, 1.1725260374684075e-91, 5.48113929124193e-90, -1.1563299735289157e-88, -6.356578073836197e-86, -8.998835720951115e-84, -8.807336634302566e-82, -6.299522516646208e-80, -2.506711419327009e-78, 1.357939355332892e-76, 4.237981013415337e-74, 5.485226123294443e-72, 4.988278461133128e-70, 3.1271903962919683e-68, 6.284938369238569e-67, -1.6818177071334763e-64, -3.1246082727996928e-62, -3.355490595722053e-60, -2.4458887379260007e-58, -8.348348186086049e-57, 8.399255371943736e-55, 1.966614111348693e-52, 2.180232553578034e-50, 1.4896436236216245e-48, 2.6848821258428637e-47, -9.045621921075726e-45, -1.498105696745996e-42, -1.2740480367630577e-40, -4.128797312890695e-39, 5.666612971983995e-37, 1.083790018535331e-34, 8.428470112527943e-33, 5.101630982553743e-32, -6.828815112692243e-29, -7.752241651303532e-27, -1.6826920297157917e-25, 5.339371596211698e-23, 5.806803542720299e-21, -7.819524802263709e-20, -5.622348751154874e-17, -1.3284200035235886e-15, 4.890658290042952e-13, 5.519554379091181e-12, -4.73216746492815e-09, 3.9485553359682045e-07, -1.745277922284497e-05, 0.0004837964338310487, -0.008800663575256561, 0.10507603138137006, -0.7988960221312639, 3.632978578923104, -8.72999227891622, 6.307482785226752, 49.260925928751625]"
10,"[1.1261709321556812e-122, -1.8801799328542457e-120, -5.228269125274812e-119, 7.299438302855557e-117, 9.647216740092678e-115, 5.217603991227252e-113, -6.567421963924267e-112, -4.526707297200831e-109, -5.3661857592714316e-107, -3.822042156941362e-105, -1.2191271058065735e-103, 1.186488152797283e-101, 2.616388366617036e-99, 2.8540191042627917e-97, 2.126486280825584e-95, 8.991471837211764e-94, -3.335621204366831e-92, -1.2017899107545884e-89, -1.5300520674187812e-87, -1.3403733299365566e-85, -7.977423081428225e-84, -1.3346246156042455e-82, 4.359396903894192e-80, 7.633480198263355e-78, 7.999299355469919e-76, 5.898687611014865e-74, 2.4211967430673155e-72, -1.13277272918817e-70, -3.650587587872387e-68, -4.523320099019516e-66, -3.752014866378924e-64, -1.8644533685456944e-62, 3.1731288580918326e-61, 1.9845746397139516e-58, 2.6177607988453144e-56, 2.137620005567908e-54, 8.978116285670703e-53, -4.9100930949093994e-51, -1.42202758895679e-48, -1.5478146376644057e-46, -9.181892635545931e-45, 6.141828925829181e-44, 8.4031652250927e-41, 1.0161328099828283e-38, 5.566445435057181e-37, -1.8112704353622467e-35, -6.732487936354803e-33, -5.895403727835202e-31, -4.9072305722412666e-30, 4.487779014930113e-27, 4.433121705951089e-25, -2.4377765153422267e-24, -3.950874934146734e-21, -2.0290164394766086e-19, 2.5803432794278764e-17, 2.3464353052388525e-15, -2.2969623068676575e-13, -1.4174870888481972e-11, 3.039512755194866e-09, -2.15213027678488e-07, 9.059894947796039e-06, -0.00025547159407876183, 0.005002633411164502, -0.06792570475029396, 0.619154041644047, -3.5188677733707023, 10.522763264945342, -6.8474237347097375, 51.15117696126302]"
11,"[-3.462402577096898e-123, 5.451096824180504e-121, 1.8591872811752196e-119, -1.8477288225053355e-117, -2.821491985425039e-115, -1.7760721750454322e-113, -1.2977648994733022e-112, 1.102908537830443e-109, 1.5345001033801762e-107, 1.2552183742178605e-105, 5.870296908879282e-104, -1.2208172552885895e-102, -6.233666555770986e-100, -8.109147358089435e-98, -7.061415003787987e-96, -4.1238577482374735e-94, -6.102121776051872e-93, 2.332448315058146e-90, 3.9919887156949586e-88, 4.178501841642396e-86, 3.1501011363385775e-84, 1.443283910789002e-82, -3.3114099099894505e-81, -1.6639043799567892e-78, -2.2653682829939068e-76, -2.1012342623026648e-74, -1.3584008575778897e-72, -3.5491400709161295e-71, 5.683057607221524e-69, 1.1481502777936815e-66, 1.264399760811441e-64, 9.5587509961135e-63, 3.8926552678749404e-61, -2.081172141652073e-59, -6.280784921720768e-57, -7.48902384122787e-55, -5.698477162646476e-53, -2.0097847866395433e-51, 1.8606024658912583e-49, 4.2922851988872284e-47, 4.4224589016777246e-45, 2.4821290811134095e-43, -3.4615593025138857e-42, -2.5275215892289874e-39, -2.967306641988896e-37, -1.6087864419568186e-35, 5.250187137642824e-34, 1.9579541987512593e-31, 1.7508589578097856e-29, 2.2118133411860173e-28, -1.238217797456049e-25, -1.3113784052510971e-23, -4.7532771431649204e-23, 1.046008368297124e-19, 6.424198758810724e-18, -5.769389389696938e-16, -6.482529889307906e-14, 4.4974168004271546e-12, 3.7330018773809696e-10, -5.5708545934554417e-08, 3.0281259376701126e-06, -9.317451325924131e-05, 0.0017540660241869928, -0.019837291548113953, 0.11934597853876551, -0.2305548920715611, -0.3313202510909557, -3.8237354173795826, 51.46692266464233]"
12,"[1.068278963117962e-122, -1.7543739047079572e-120, -5.187867241556681e-119, 6.571270384090795e-117, 9.028377117336499e-115, 5.1104839568423077e-113, -3.220444504256471e-112, -4.0366079065431563e-109, -4.9929532000465385e-107, -3.705611976499575e-105, -1.3542563921431141e-103, 9.033653629282225e-102, 2.3192448612413634e-99, 2.651349754723678e-97, 2.070591480690697e-95, 9.82153623708076e-94, -1.6349533510430497e-92, -1.0141584550889349e-89, -1.3871136945871133e-87, -1.2792841528168766e-85, -8.241022500179946e-84, -2.248788817765596e-82, 3.1798606197664734e-80, 6.595579277399333e-78, 7.404802504005573e-76, 5.867788698583147e-74, 2.8795196466902676e-72, -4.036533697787138e-71, -2.9285306123666813e-68, -4.0477990692257886e-66, -3.6504670990618504e-64, -2.121445300614088e-62, -1.5853159785891757e-61, 1.49358965140154e-58, 2.299557576627022e-56, 2.0952565675785782e-54, 1.1142844643507821e-52, -1.3838045275287292e-51, -1.1045661209981114e-48, -1.4073435235247115e-46, -1.0023415534199546e-44, -1.8001350185325282e-43, 5.875647270572293e-41, 8.962000344860476e-39, 6.281062616915638e-37, 1.7289539802857246e-36, -4.959752357392329e-33, -5.621615459883661e-31, -1.8048346400969577e-29, 2.8515714222265204e-27, 4.044440730108712e-25, 9.286983078884524e-24, -2.6616358922182024e-21, -2.2736381922764316e-19, 1.2284019054616161e-17, 2.1219641735096334e-15, -1.0115371177570255e-13, -1.4021752217709727e-11, 1.7475361313640569e-09, -9.087599021070809e-08, 2.7555875479959983e-06, -5.1665557768527045e-05, 0.0005701058886525465, -0.002675157531313714, -0.013830428534948817, 0.26277467154343975, -1.352433424106665, 2.229472618256563, 49.4932186126709]"
